transaction_type	credcount
ACCOUNT TRANSFER	18
ATM CASH DEPOSIT	1
AUTOMATIC FOREIGN PAYMENT	62
BALANCE BOOKING TO EURO	1863
BOOKING BETWEEN OWN ACCOUNTS	52
BOOKING NETTO INTERESTS	982
CASH DEPOSIT	73
CLOSURE OF CHECKINGS ACCOUNT	26
COMMON ACCOUNTS CREDIT	458
CONVERSION TRANSACTION	55
CORRECTION BOOKING	60
CREDIT CARD DISCOUNT	98
CREDIT FOREIGN BILL OF EXCHANGE	2
CREDIT FOREIGN CHEQUE	370
CREDIT TRANSFER	2915
CURRENCY CORRECTION	3
EMPLOYEE CODE CHANGE	3
EMPLOYER TRANSFER	57
EXTENSION TIME DEPOSIT	2877
FOREIGN CURRENCY SALE	298
INT CREDIT TRANSFER	2819
INTEREST	1
INTEREST CAPITALIZATION TIME DEPOSIT	2309
INTEREST STATEMENT TIME DEPOSIT	1674
INTERNAL ADMINISTRATION	66
INTERNAL BOOKING	26
INTERNATIONAL CREDIT TRANSFER	113
MORTGAGE - NO INTEREST DUE	1
OPENING TIME DEPOSIT	1062
OWN CASH DEPOSIT	1543
OWN FOREIGN CURRENCY DEPOSIT	109
OWN PURCHASE FOREIGN BILLS	420
OWN PURCHASE FOREIGN PAPER	81
OWN SALE FOREIGN BILLS	1384
OWN SALE FOREIGN PAPER	81
PARTICIPATION CERTIFICATES	156
REFUND CARD BALANCE NO.	1
REMISE TRAVELLER CHEQUE	183
REMITTANCE PAY DOCUMENTS	77
REPAYMENT DOMICILED INVOICE	25
REPAYMENT FOREIGN BILLS	2
SALE FOREIGN SECURITIES	204
SALE SECURITIES STOCK EXCHANGE	23
SETTLEMENT INCASSO EXPORT BILL OF EXCHANGE	2
SETTLEMENT INCASSO EXPORT CHEQUE	27
SETTLEMENT MAINTENANCE FOREIGN SECURITIES	382
SETTLEMENT MAINTENANCE SECURITIES	87
SETTLEMENT SECURITIES	60
STATEMENT CAPITAL TIME DEPOSIT	861
SUBSCRIPTION COUPON BONDS	3
SYSTEMATIC INVESTMENT PLAN	19
SYSTEMATIC SAVINGS COMMISSIONED BY	148
TRANSFER BETWEEN OWN ACCOUNTS	734
TRANSFER BETWEEN OWN ACCOUNTS (TEL)	64
UNDO CARD PAYMENT	1
UNDO CHEQUE NR.	1
UNDO DOMICILED INVOICE	42
UNDO TRANSACTION	5
UNSPECIFIED	20
WITHDRAWAL FIXED ADVANCE	133
WITHDRAWAL TIME DEPOSIT	330
WRITING-OFF DEBET POSITION	2
