type	region
CURRENCY CORRECTION	national
HOLDING CHARGES ON SECURITY TRUST	national
INVOICE AUTOM. BANK.	national
PARTICIPATION CERTIFICATES	national
PROVISION ON OVERDRAWS	national
REINVESTMENT FEE OF FIXED ADVANCE	national
STATEMENT CAPITAL TIME DEPOSIT	national
WITHDRAWAL FIXED ADVANCE	national
COMMON ACCOUNTS CREDIT	national
FOREIGN CURRENCY PURCHASE	national
CREDIT TRANSFER	national
FOREIGN CURRENCY SALE	national
ATM CASH CREDIT IN FOREIGN COUNTRY	national
IMPORT CHEQUE PAYMENT	national
DEBIT TRANSFER (TEL)	national
DEBIT TRANSFER (TEL)	national
CREDIT TRANSFER	national
PAYMENT DOMICILED INVOICE	national
PERIODIC TRANSFER	national
CASH WITHDRAWAL (ATM)	national
REMISE TRAVELLER CHEQUE	national
CHEQUE PAYMENT	national
TRAVELLERS CHEQUE BUY	national
CASH WITHDRAWAL	national
UNDO DOMICILED INVOICE	national
REPAYMENT DOMICILED INVOICE	national
CREDIT CARD SETTLEMENT	national
CREDIT CARD SETTLEMENT	international
CREDIT TRANSFER	national
OWN CASH DEPOSIT	national
DEBIT TRANSFER	national
CASH DEPOSIT	national
EMPLOYER TRANSFER	national
INT DEBIT TRANSFER	international
INT CREDIT TRANSFER	international
SYSTEMATIC INVESTMENT PLAN	national
ATM FOREIGN CURRENCY PURCHASE	national
EUROCHEQUE PAYMENT	national
ACCOUNT TRANSFER	national
SETTLEMENT INCASSO EXPORT CHEQUE	international
CREDIT FOREIGN CHEQUE	international
TRANSFER TO ACCOUNT	national
BANK CARD FUEL PURCHASE	national
BANK CARD PURCHASE	national
PROTON RECHARGE ON CARD NR	national
PAYMENT AGENDA DEBIT TRANSFER TO ACCOUNT	national
INTERNATIONAL CREDIT TRANSFER	international
CASH WITHDRAWAL	national
FOREIGN MAESTRO PAYMENT	international
OWN FOREIGN CURRENCY DEPOSIT	national
OWN SALE FOREIGN BILLS	national
TRANSFER BETWEEN OWN ACCOUNTS	national
OWN PURCHASE FOREIGN BILLS	national
TRANSFER BETWEEN OWN ACCOUNTS	national
BOOKING BETWEEN OWN ACCOUNTS	national
COMMON ACCOUNTS DEBIT	national
UNDO TRANSACTION	national
TRANSFER BETWEEN OWN ACCOUNTS (TEL)	national
TRANSFER BETWEEN OWN ACCOUNTS (TEL)	national
PAYMENT AGENDA DEBIT TRANSFER TO ACCOUNT	national
PAYMENT AGENDA DEBIT TRANSFER TO ACCOUNT	national
PAYMENT AGENDA DEBIT TRANSFER TO ACCOUNT	national
PAYMENT AGENDA DEBIT TRANSFER TO ACCOUNT	national
UNDO CHEQUE NR.	national
CREDIT TRANSFER	national
ATM CASH DEPOSIT	national
SETTLEMENT INCASSO EXPORT BILL OF EXCHANGE	international
CREDIT FOREIGN BILL OF EXCHANGE	international
AUTOMATIC FOREIGN PAYMENT	international
FOREIGN TRANSFER ISABEL	international
ACCOUNT INSURANCE/COSTS CLOSING ACCOUNT	national
ADMINISTRATIVE FEE	national
ANNUAL CARD CONTRIBUTION	national
BALANCE BOOKING TO EURO	national
BOOKING NETTO INTERESTS	national
BOOKING OUT TIME DEPOSIT	national
CLOSURE OF CHECKINGS ACCOUNT	national
CONTRIBUTION ELECTRONIC PAYMENT CARD	national
CONTRIBUTION FUEL SERVICE	national
CONVERSION TRANSACTION	national
CORRECTION BOOKING	national
COSTS AND PROVISIONS	national
COSTS CLOSING ACCOUNT	national
COSTS COMPENSATION	national
COSTS CORRESPONDENCE ADMINISTRATION	national
COSTS DOCUMENTARY CREDIT	national
COSTS DOSSIER CHANGE	national
COSTS DOSSIER OPENING	national
COSTS FOREIGN COMMERCIAL PAPER	national
COSTS FOREIGN TRANSFER	national
COSTS ON FOREIGN CHEQUES	national
COSTS ON PAYMENTS	national
COSTS ON SECURITIES	national
COSTS REPLACEMENT CARD	national
CREDIT CARD DISCOUNT	national
CREDIT LONG TERM SAVINGS	national
CREDIT TIME DEPOSIT	national
DISPATCH COSTS CHEQUES	national
DOCUMENT IMPORT BILL OF EXCHANGE PAYMENT	national
DOCUMENTARY CREDIT	national
EARLY PAYMENT OF FIXED ADVANCE	national
EMPLOYEE CODE CHANGE	national
EXTENSION TIME DEPOSIT	national
GUARANTEE PROVISION	national
INSURANCE PREMIUM	national
INTEREST	national
INTEREST CAPITALIZATION TIME DEPOSIT	national
INTEREST LOAN	national
INTEREST STATEMENT OF FIXED ADVANCE	national
INTEREST STATEMENT TIME DEPOSIT	national
INTERMEDIATE CLOSING ACCOUNT	national
INTERNAL ADMINISTRATION	national
INTERNAL BOOKING	national
MANAGEMENT COSTS LOAN FILE	national
MANAGEMENT FEE	national
MORTGAGE - NO INTEREST DUE	national
NIGHT SAFE RENT	national
OPENING TIME DEPOSIT	national
OWN PURCHASE FOREIGN PAPER	national
OWN SALE FOREIGN PAPER	national
PAYMENT IMPORT COMMERCIAL PAPER	national
PAYMENT SUBSCRIPTION	national
PAYMENT TRAVEL ASSISTANCE	national
PERIODIC CONTRIBUTION	national
POSTAGE COSTS	national
POSTAGE COSTS AND COSTS CLOSING ACCOUNT	national
POSTAGE COSTS/ACCOUNT INSURRANCE	national
PREMIUM ACCOUNT INSURANCE	national
PURCHASE FOREIGN SECURITIES	national
PURCHASE SECURITIES	national
PURCHASE SECURITIES STOCK EXCHANGE	national
REDEMPTION LOAN	national
REDEMPTION LOAN ON REPAYMENTS	national
REDEMPTION OF FIXED ADVANCE	national
REFUND CARD BALANCE NO.	national
REINVESTMENT FEE TIME DEPOSIT	national
REMITTANCE PAY DOCUMENTS	national
REPAYMENT FOREIGN BILLS	national
SAFE RENT	national
SALE FOREIGN SECURITIES	national
SALE SECURITIES STOCK EXCHANGE	national
SECURE FOR LOAN	national
SETTLEMENT MAINTENANCE FOREIGN SECURITIES	national
SETTLEMENT MAINTENANCE SECURITIES	national
SETTLEMENT SECURITIES	national
SUBSCRIPTION COUPON BONDS	national
SUBSCRIPTION EMISSION	national
SYSTEMATIC SAVINGS COMMISSIONED BY	national
SYSTEMATIC SAVINGS IN FAVOUR OF	national
TARIFF NATIONAL TRANSFERS	national
