//amavg	amstd	cnt	transaction_type	account_type
69.0764	9.164	2	credit transfer	Deposit account
210.4486	16.17147888	4	deposit	Deposit account
678.9	345.87	29	cash deposit	Deposit account
496	0	1	cheque deposit	Deposit account
833.145	15.55018547	4	EFT credit	Deposit account
348.8921739	87.89	23	cheque deposit	Checking account
234.72	134.78	12	card debit	Checking account
56	34.78	56	atm debit	Checking account
626.92	85.128576	8	Cheque Payment	Checking account
100	10	7	Branch Withdrawal	Checking account
145.78	34.98	21	Bill Payment	Checking account
215.135	69.7589395	4	Cheque Payment	Checking account
22.21	0	1	unpaid cheque fee	Checking account
6.27	0	1	cancel cheque fee	Checking account
10	5.67	2	admin fee	Current account
782.673674	37.24147	3	credit transfer	Current account
134.747799	20.13494429	19	deposit	Current account
456.72	56.78	23	cash deposit	Current account
783.1526879	165.1621894	132	cheque deposit	Current account
147.799663	202.795844	76	EFT credit	Current account
456.87	134.78	136	card debit	Current account
116.56	53.78	137	atm debit	Current account
105.5025709	32.5480401	13	Standing instruction	Current account
2364.763537	53.535976	95	Mortgage debit	Current account
105.28073	22.32628	56	EFT debit	Current account
138.9800176	55.7649898	61	Cheque Payment	Current account
200	50	45	Branch Withdrawal	Current account
156.91	67.98	68	Bill Payment	Current account
0	0	0	interest	Current account
678.9	67.9	24	cash withdrawal	Current account
5971.91136	60.57571	45	Salary Credit	Current account
83.07516505	62.05870559	2	credit transfer	Transaction deposit
84.59928571	75.82629502	24	deposit	Transaction deposit
35.89	4.31	12	cash deposit	Transaction deposit
1183.990033	162.5282222	24	cheque deposit	Transaction deposit
46.40458	31.84884538	20	EFT credit	Transaction deposit
75.35470633	33.4109512	3	credit transfer	Savings Account
346.172247	174.02717	32	deposit	Savings Account
234.9	132.32	30	cash deposit	Savings Account
1065.7138	147.187466	2167	cheque deposit	Savings Account
739.6015137	179.531406	12	EFT credit	Savings Account
227.01864	123.35737	3	interest	Savings Account
320.55549	110.63	4	deposit	Time deposit
56.78	12.45	18	cash deposit	Time deposit
10416.395	483.494489	6	deposit	Tax Free Savings Account
78.94	45.67	5	cash deposit	Tax Free Savings Account
520.98	303.58	14	EFT credit	Tax Free Savings Account
1.745	1.45	2	interest change	Tax Free Savings Account
30	0	1	annual card fee	Joint account
