transaction_type	allcount
ACCOUNT INSURANCE/COSTS CLOSING ACCOUNT	1
ACCOUNT TRANSFER	24
ADMINISTRATIVE FEE	1
ANNUAL CARD CONTRIBUTION	419
ATM CASH CREDIT IN FOREIGN COUNTRY	1279
ATM CASH DEPOSIT	1
ATM FOREIGN CURRENCY PURCHASE	1
AUTOMATIC FOREIGN PAYMENT	62
BALANCE BOOKING TO EURO	3519
BANK CARD FUEL PURCHASE	743
BANK CARD PURCHASE	3943
BOOKING BETWEEN OWN ACCOUNTS	83
BOOKING NETTO INTERESTS	1840
BOOKING OUT TIME DEPOSIT	2877
CASH DEPOSIT	73
CASH WITHDRAWAL	2874
CASH WITHDRAWAL (ATM)	2284
CHEQUE PAYMENT	144
CLOSURE OF CHECKINGS ACCOUNT	546
COMMON ACCOUNTS CREDIT	458
COMMON ACCOUNTS DEBIT	458
CONTRIBUTION ELECTRONIC PAYMENT CARD	311
CONTRIBUTION FUEL SERVICE	1
CONVERSION TRANSACTION	467
CORRECTION BOOKING	116
COSTS AND PROVISIONS	592
COSTS CLOSING ACCOUNT	7
COSTS COMPENSATION	4
COSTS CORRESPONDENCE ADMINISTRATION	241
COSTS DOCUMENTARY CREDIT	162
COSTS DOSSIER CHANGE	17
COSTS DOSSIER OPENING	22
COSTS FOREIGN COMMERCIAL PAPER	12
COSTS FOREIGN TRANSFER	5662
COSTS ON FOREIGN CHEQUES	41
COSTS ON PAYMENTS	110
COSTS ON SECURITIES	4
COSTS REPLACEMENT CARD	1
CREDIT CARD DISCOUNT	98
CREDIT CARD SETTLEMENT	2294
CREDIT FOREIGN BILL OF EXCHANGE	2
CREDIT FOREIGN CHEQUE	370
CREDIT LONG TERM SAVINGS	11
CREDIT TIME DEPOSIT	7
CREDIT TRANSFER	2915
CURRENCY CORRECTION	6
DEBIT TRANSFER	18
DEBIT TRANSFER (TEL)	215
DISPATCH COSTS CHEQUES	1
DOCUMENT IMPORT BILL OF EXCHANGE PAYMENT	2
DOCUMENTARY CREDIT	78
EARLY PAYMENT OF FIXED ADVANCE	2
EMPLOYEE CODE CHANGE	6
EMPLOYER TRANSFER	57
EUROCHEQUE PAYMENT	2
